year,code,amount,name,topname,depname,depcat,cat,ref
2009,3102010100,965645000,無細項,總統府主管,總統府,一般行政,國務支出,1.1.1
2009,3102010200,30000000,無細項,總統府主管,總統府,國務機要,國務支出,1.1.2
2009,3102010300,18662000,無細項,總統府主管,總統府,國家慶典,國務支出,1.1.3
2009,3102010400,11736000,國家發展研究及諮詢,總統府主管,總統府,研究發展,國務支出,1.1.4.1
2009,3102010500,15640000,無細項,總統府主管,總統府,新聞發布,國務支出,1.1.5
2009,3102010600,34301000,無細項,總統府主管,總統府,卸任禮遇,國務支出,1.1.6
2009,3102010800,8771000,無細項,總統府主管,總統府,公報編印及印信勳章鑄造,國務支出,1.1.7
2009,3102019000,23000000,營建工程,總統府主管,總統府,一般建築及設備,國務支出,1.1.8.1
2009,3102019800,2182000,無細項,總統府主管,總統府,第一預備金,國務支出,1.1.9
2009,3102100100,171268000,無細項,總統府主管,國家安全會議,一般行政,國務支出,1.2.1
2009,3102101000,2040000,無細項,總統府主管,國家安全會議,策進國家安全議事業務,國務支出,1.2.2
2009,3102102000,9529000,無細項,總統府主管,國家安全會議,策進國家安全諮詢研究業務,國務支出,1.2.3
2009,3102105000,13941000,無細項,總統府主管,國家安全會議,策進國際安全合作研究業務,國務支出,1.2.4
2009,3102109000,2997000,營建工程,總統府主管,國家安全會議,一般建築及設備,國務支出,1.2.5.1
2009,3102109800,234000,無細項,總統府主管,國家安全會議,第一預備金,國務支出,1.2.6
2009,5202303000,17077000,無細項,總統府主管,國史館,總統文物與珍貴史料數位化,科學支出,1.3.1
2009,5302300100,180423000,無細項,總統府主管,國史館,一般行政,文化支出,1.3.2
2009,5302301000,56024000,史料採集,總統府主管,國史館,史料採集與典藏,文化支出,1.3.3.1
2009,5302302000,10813000,無細項,總統府主管,國史館,國史編纂,文化支出,1.3.4
2009,5302309800,340000,無細項,總統府主管,國史館,第一預備金,文化支出,1.3.5
2009,5202315000,8628000,無細項,總統府主管,國史館臺灣文獻館,拓展數位化計畫,科學支出,1.4.1
2009,5302313000,89797000,無細項,總統府主管,國史館臺灣文獻館,一般行政,文化支出,1.4.2
2009,5302314000,11403000,採集文獻暨文物大樓營運,總統府主管,國史館臺灣文獻館,文獻業務,文化支出,1.4.3.1
2009,5202400100,413269000,無細項,總統府主管,中央研究院,一般行政,科學支出,1.5.1
2009,5202401000,521362000,學術審議及研究獎助,總統府主管,中央研究院,一般學術研究及評議,科學支出,1.5.2.1
2009,5202402000,2678003000,數理科學研究,總統府主管,中央研究院,自然及人文社會科學研究,科學支出,1.5.3.1
2009,5202409000,466150000,營建工程,總統府主管,中央研究院,一般建築及設備,科學支出,1.5.4.1
